sid,nid,nage,ngender,lid,lage,lgender,n2id,n2age,n2gender,nsindex,lsindex,n2sindex,family,pair,group,week,finalweek,cumulweek,intergenerational_index,done,duration,wtest,appversion,appversion2,stat_stories,stat_stories_from_log,stat_editions,stat_editions_from_log,stat_deletions,stat_pictures,stat_questions_views,stat_questions_answered,stat_public_memento_views,stat_public_memento_detail_views,mood_week_narrator,mood_before_narrator,mood_after_narrator,mood_week_listener,mood_before_listener,mood_after_listener,mood_week_narrator2,mood_before_narrator2,mood_after_narrator2,log_traffic,p_score_binary,p_score,s_max_score,sg_score,se_score,set_score,st_score,sr_score,pc_score,pnc_score,cc_score,cnc_score,c_max_score
1,67,71,0,144,16,1,0,NA,NA,2,NA,NA,0,0,0,1,3,1,3,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,35.6,36,38,0,0,0,0,0,NA,NA,1,3,1,0,1,0,3,2,0,0,0,0,0
2,67,71,0,144,16,1,0,NA,NA,2,NA,NA,0,0,0,2,3,2,3,1,1,0,4,4,1,0,0,0,0,0,0,0,0,0,33.85,0,36,28.86,0,22,0,0,NA,1,1,3,2,0,2,0,3,2,0,0,0,0,0
3,67,71,0,144,16,1,0,NA,NA,2,NA,NA,0,0,0,3,3,3,3,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,34.5,NA,37,0,0,NA,0,0,NA,NA,1,2,1,0,1,0,3,2,0,0,0,0,0
5,70,68,1,72,38,0,0,NA,NA,NA,NA,NA,0,2,1,1,8,1,2,1,1,0,3,3,2,2,1,1,0,4,2,0,46,2,0,0,38,0,0,NA,0,0,NA,78,1,3,3,2,3,3,3,2,2,3,0,0,2
4,69,67,1,71,21,1,0,NA,NA,1,2,NA,0,1,1,1,8,1,2,1,1,0,4,4,3,3,2,2,0,11,38,0,163,6,NA,NA,34,0,0,39,0,0,NA,245,1,3,1,1,0,0,3,0,2,1,2,1,2
6,73,72,0,74,28,1,0,NA,NA,NA,2,NA,0,3,1,1,7,1,2,1,0.67,0,2,2,3,3,0,0,0,3,7,2,0,0,28.5,0,38,0,0,31,0,0,NA,19,1,2,2,0,2,0,2,1,3,0,2,0,3
7,75,65,1,76,18,1,0,NA,NA,NA,NA,NA,0,4,1,1,7,1,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,33,0,0,NA,3,0,0,2,0,2,0,3,3,0,0,0,0,0
8,77,67,1,80,22,1,0,NA,NA,1,2,NA,0,6,1,1,6,1,2,1,0.75,0,4,4,2,2,0,0,0,3,5,0,35,4,12,0,39,0,0,38,0,0,NA,70,1,2,2,0,2,0,3,2,3,0,2,0,3
9,78,73,1,81,31,0,0,NA,NA,2,NA,NA,0,7,1,1,4,1,2,1,0.82,0,3,3,2,2,0,0,0,2,5,0,47,5,0,0,40,0,0,NA,0,0,NA,77,1,3,2,0,2,2,3,1,3,3,2,0,3
10,79,78,1,82,28,1,0,NA,NA,2,1,NA,0,8,1,1,6,1,3,1,1,0,2,2,2,3,2,3,0,4,14,0,18,0,0,0,32,0,0,32,0,0,NA,58,0,0,3,3,2,3,3,2,3,2,2,2,3
11,83,90,1,84,29,0,122,80,1,NA,1,NA,1,9,1,1,6,1,3,1,1.25,0,1,1,8,8,3,3,0,6,0,0,27,0,0,0,34,0,0,36,0,0,29,65,1,1,3,2,3,0,3,2,1,3,3,2,3
12,69,67,1,71,21,1,0,NA,NA,1,2,NA,0,1,1,2,8,2,2,1,1,1,3,3,2,2,0,0,0,2,2,0,46,0,0,0,35,0,0,39,0,0,NA,58,1,2,3,3,1,0,2,0,1,2,2,0,2
13,70,68,1,72,38,0,0,NA,NA,NA,NA,NA,0,2,1,2,8,2,2,1,1.08,1,2,2,5,5,1,1,0,9,17,2,17,0,0,0,33,0,0,NA,0,0,NA,65,1,3,3,1,2,3,3,0,3,2,1,0,3
